id,order_number,customer_name,order_date,expected_delivery_date,status,total_amount
24,ORD-2025-0024,Titan Heavy Industries,2025-10-22,2025-10-30,DELIVERED,6909.00
25,ORD-2025-0025,Acme Automation Corp,2025-10-19,2025-10-25,DELIVERED,3750.00
26,ORD-2025-0026,Global Manufacturing Inc,2025-10-02,2025-10-08,DELIVERED,350.00
27,ORD-2025-0027,Vanguard Precision Robotics,2025-10-17,2025-10-23,DELIVERED,27822.00
28,ORD-2025-0028,Metro Packaging Logistics,2025-10-26,2025-11-05,DELIVERED,12400.50
29,ORD-2025-0029,Titan Heavy Industries,2025-10-14,2025-10-23,DELIVERED,19380.00
30,ORD-2025-0030,Acme Automation Corp,2025-10-21,2025-10-25,DELIVERED,5690.00
31,ORD-2025-0031,Apex Industrial Solutions,2025-10-05,2025-10-14,DELIVERED,6003.00
32,ORD-2025-0032,Global Manufacturing Inc,2025-10-02,2025-10-05,DELIVERED,36130.00
33,ORD-2025-0033,Acme Automation Corp,2025-10-07,2025-10-16,DELIVERED,1459.00
34,ORD-2025-0034,Vanguard Precision Robotics,2025-10-26,2025-11-05,DELIVERED,15135.00
35,ORD-2025-0035,Acme Automation Corp,2025-10-10,2025-10-16,DELIVERED,660.00
36,ORD-2025-0036,Summit Aerospace Parts,2025-10-02,2025-10-05,DELIVERED,20964.00
37,ORD-2025-0037,Metro Packaging Logistics,2025-10-22,2025-10-28,DELIVERED,1125.00
38,ORD-2025-0038,Summit Aerospace Parts,2025-10-19,2025-10-22,DELIVERED,1664.00
39,ORD-2025-0039,Vanguard Precision Robotics,2025-10-19,2025-10-27,DELIVERED,13275.00
40,ORD-2025-0040,Apex Industrial Solutions,2025-10-09,2025-10-18,DELIVERED,1089.50
41,ORD-2025-0041,Global Manufacturing Inc,2025-10-20,2025-10-24,DELIVERED,9330.00
42,ORD-2025-0042,Pacific Dynamics Ltd,2025-10-03,2025-10-09,DELIVERED,51664.00
43,ORD-2025-0043,Quantum Devices LLC,2025-10-26,2025-10-29,DELIVERED,12950.50
44,ORD-2025-0044,Vanguard Precision Robotics,2025-10-24,2025-10-29,DELIVERED,19855.00
45,ORD-2025-0045,Starlight Energy Corp,2025-10-21,2025-10-28,DELIVERED,12832.00
46,ORD-2025-0046,Quantum Devices LLC,2025-10-11,2025-10-16,DELIVERED,39978.00
47,ORD-2025-0047,Global Manufacturing Inc,2025-10-18,2025-10-21,DELIVERED,1425.00
48,ORD-2025-0048,Pacific Dynamics Ltd,2025-10-18,2025-10-21,DELIVERED,5749.00
49,ORD-2025-0049,Pacific Dynamics Ltd,2025-10-12,2025-10-15,DELIVERED,21600.00
50,ORD-2025-0050,Summit Aerospace Parts,2025-10-12,2025-10-21,DELIVERED,33015.00
51,ORD-2025-0051,Omni Logistics Partners,2025-10-01,2025-10-06,DELIVERED,11500.00
52,ORD-2025-0052,Titan Heavy Industries,2025-11-13,2025-11-16,DELIVERED,11286.00
53,ORD-2025-0053,Techtronics Assembly Corp,2025-11-27,2025-12-03,DELIVERED,8360.00
54,ORD-2025-0054,Vanguard Precision Robotics,2025-11-13,2025-11-21,DELIVERED,445.50
55,ORD-2025-0055,Quantum Devices LLC,2025-11-12,2025-11-21,DELIVERED,6710.50
56,ORD-2025-0056,Summit Aerospace Parts,2025-11-02,2025-11-06,DELIVERED,4453.00
57,ORD-2025-0057,Vanguard Precision Robotics,2025-11-19,2025-11-25,DELIVERED,2775.00
58,ORD-2025-0058,Pacific Dynamics Ltd,2025-11-01,2025-11-07,DELIVERED,35300.00
59,ORD-2025-0059,Quantum Devices LLC,2025-11-10,2025-11-17,DELIVERED,20568.00
60,ORD-2025-0060,Quantum Devices LLC,2025-11-22,2025-12-01,DELIVERED,9115.00
61,ORD-2025-0061,Vanguard Precision Robotics,2025-11-18,2025-11-21,DELIVERED,19302.00
62,ORD-2025-0062,Titan Heavy Industries,2025-11-15,2025-11-25,DELIVERED,10380.00
63,ORD-2025-0063,Quantum Devices LLC,2025-11-24,2025-11-29,DELIVERED,20580.00
64,ORD-2025-0064,Global Manufacturing Inc,2025-11-22,2025-11-30,DELIVERED,19900.00
65,ORD-2025-0065,Acme Automation Corp,2025-11-05,2025-11-08,DELIVERED,5292.00
66,ORD-2025-0066,Quantum Devices LLC,2025-11-15,2025-11-24,DELIVERED,3372.50
67,ORD-2025-0067,Quantum Devices LLC,2025-11-08,2025-11-13,DELIVERED,973.50
68,ORD-2025-0068,Techtronics Assembly Corp,2025-11-04,2025-11-13,DELIVERED,4810.00
69,ORD-2025-0069,Global Manufacturing Inc,2025-11-18,2025-11-24,DELIVERED,28807.00
70,ORD-2025-0070,Starlight Energy Corp,2025-11-15,2025-11-24,DELIVERED,24776.00
71,ORD-2025-0071,Quantum Devices LLC,2025-11-09,2025-11-19,DELIVERED,3710.00
72,ORD-2025-0072,Vanguard Precision Robotics,2025-11-10,2025-11-16,DELIVERED,2642.00
73,ORD-2025-0073,Omni Logistics Partners,2025-11-13,2025-11-18,DELIVERED,1658.00
74,ORD-2025-0074,Metro Packaging Logistics,2025-11-18,2025-11-28,DELIVERED,12240.00
75,ORD-2025-0075,Summit Aerospace Parts,2025-11-13,2025-11-16,DELIVERED,26226.00
76,ORD-2025-0076,Titan Heavy Industries,2025-11-24,2025-11-30,DELIVERED,8962.00
77,ORD-2025-0077,Quantum Devices LLC,2025-11-13,2025-11-21,DELIVERED,45107.00
78,ORD-2025-0078,Global Manufacturing Inc,2025-11-19,2025-11-22,DELIVERED,33546.00
79,ORD-2025-0079,Pacific Dynamics Ltd,2025-11-15,2025-11-23,DELIVERED,11219.50
80,ORD-2025-0080,Techtronics Assembly Corp,2025-11-02,2025-11-10,DELIVERED,841.50
81,ORD-2025-0081,Techtronics Assembly Corp,2025-12-25,2025-12-28,DELIVERED,7355.00
82,ORD-2025-0082,Quantum Devices LLC,2025-12-05,2025-12-15,DELIVERED,1035.00
83,ORD-2025-0083,Pacific Dynamics Ltd,2025-12-15,2025-12-22,DELIVERED,14674.00
84,ORD-2025-0084,Vanguard Precision Robotics,2025-12-25,2025-12-30,DELIVERED,495.00
85,ORD-2025-0085,Metro Packaging Logistics,2025-12-10,2025-12-19,DELIVERED,3249.00
86,ORD-2025-0086,Omni Logistics Partners,2025-12-08,2025-12-12,DELIVERED,35150.00
87,ORD-2025-0087,Starlight Energy Corp,2025-12-02,2025-12-10,DELIVERED,26087.00
88,ORD-2025-0088,Global Manufacturing Inc,2025-12-27,2026-01-06,DELIVERED,11212.00
89,ORD-2025-0089,Summit Aerospace Parts,2025-12-17,2025-12-24,DELIVERED,2563.00
90,ORD-2025-0090,Techtronics Assembly Corp,2025-12-09,2025-12-19,DELIVERED,20090.00
91,ORD-2025-0091,Techtronics Assembly Corp,2025-12-06,2025-12-16,DELIVERED,23715.00
92,ORD-2025-0092,Global Manufacturing Inc,2025-12-01,2025-12-07,DELIVERED,2342.00
93,ORD-2025-0093,Omni Logistics Partners,2025-12-25,2025-12-31,DELIVERED,11237.00
94,ORD-2025-0094,Omni Logistics Partners,2025-12-08,2025-12-17,DELIVERED,35570.00
95,ORD-2025-0095,Metro Packaging Logistics,2025-12-16,2025-12-24,DELIVERED,3673.00
96,ORD-2025-0096,Omni Logistics Partners,2025-12-08,2025-12-12,DELIVERED,1711.00
97,ORD-2025-0097,Techtronics Assembly Corp,2025-12-25,2025-12-30,DELIVERED,2162.00
98,ORD-2025-0098,Global Manufacturing Inc,2025-12-19,2025-12-26,DELIVERED,18585.00
99,ORD-2025-0099,Omni Logistics Partners,2025-12-10,2025-12-13,DELIVERED,8130.00
100,ORD-2025-0100,Quantum Devices LLC,2025-12-10,2025-12-15,DELIVERED,18960.00
101,ORD-2025-0101,Vanguard Precision Robotics,2025-12-06,2025-12-09,DELIVERED,2851.00
102,ORD-2025-0102,Apex Industrial Solutions,2025-12-02,2025-12-07,DELIVERED,7736.50
103,ORD-2025-0103,Starlight Energy Corp,2025-12-20,2025-12-26,DELIVERED,25567.00
104,ORD-2025-0104,Techtronics Assembly Corp,2025-12-20,2025-12-24,DELIVERED,10750.00
105,ORD-2025-0105,Starlight Energy Corp,2025-12-08,2025-12-13,DELIVERED,8500.00
106,ORD-2025-0106,Omni Logistics Partners,2025-12-14,2025-12-24,DELIVERED,25735.00
107,ORD-2025-0107,Vanguard Precision Robotics,2025-12-22,2025-12-28,DELIVERED,1564.00
108,ORD-2025-0108,Vanguard Precision Robotics,2025-12-21,2025-12-26,DELIVERED,7570.00
109,ORD-2026-0109,Titan Heavy Industries,2026-01-20,2026-01-27,DELIVERED,756.00
110,ORD-2026-0110,Vanguard Precision Robotics,2026-01-10,2026-01-19,DELIVERED,15132.50
111,ORD-2026-0111,Global Manufacturing Inc,2026-01-09,2026-01-12,DELIVERED,18355.00
112,ORD-2026-0112,Summit Aerospace Parts,2026-01-25,2026-02-01,DELIVERED,957.00
113,ORD-2026-0113,Starlight Energy Corp,2026-01-06,2026-01-16,DELIVERED,47305.00
114,ORD-2026-0114,Pacific Dynamics Ltd,2026-01-12,2026-01-21,DELIVERED,57914.00
115,ORD-2026-0115,Quantum Devices LLC,2026-01-16,2026-01-23,DELIVERED,6547.50
116,ORD-2026-0116,Starlight Energy Corp,2026-01-04,2026-01-13,DELIVERED,16720.00
117,ORD-2026-0117,Acme Automation Corp,2026-01-15,2026-01-24,DELIVERED,9541.00
118,ORD-2026-0118,Acme Automation Corp,2026-01-16,2026-01-26,DELIVERED,6356.00
119,ORD-2026-0119,Global Manufacturing Inc,2026-01-15,2026-01-25,DELIVERED,7680.00
120,ORD-2026-0120,Omni Logistics Partners,2026-01-26,2026-02-01,DELIVERED,9040.00
121,ORD-2026-0121,Techtronics Assembly Corp,2026-01-14,2026-01-18,DELIVERED,238.00
122,ORD-2026-0122,Titan Heavy Industries,2026-01-21,2026-01-26,DELIVERED,16620.00
123,ORD-2026-0123,Starlight Energy Corp,2026-01-08,2026-01-18,DELIVERED,14688.00
124,ORD-2026-0124,Global Manufacturing Inc,2026-01-24,2026-01-29,DELIVERED,3009.00
125,ORD-2026-0125,Vanguard Precision Robotics,2026-01-27,2026-01-30,DELIVERED,16527.00
126,ORD-2026-0126,Pacific Dynamics Ltd,2026-01-16,2026-01-24,DELIVERED,14860.00
127,ORD-2026-0127,Acme Automation Corp,2026-01-28,2026-02-06,DELIVERED,5600.00
128,ORD-2026-0128,Titan Heavy Industries,2026-01-26,2026-01-31,DELIVERED,7770.00
129,ORD-2026-0129,Global Manufacturing Inc,2026-01-19,2026-01-27,DELIVERED,5918.00
130,ORD-2026-0130,Titan Heavy Industries,2026-01-05,2026-01-09,DELIVERED,15260.00
131,ORD-2026-0131,Pacific Dynamics Ltd,2026-01-28,2026-02-06,DELIVERED,22598.00
132,ORD-2026-0132,Metro Packaging Logistics,2026-01-08,2026-01-12,DELIVERED,825.00
133,ORD-2026-0133,Titan Heavy Industries,2026-01-23,2026-01-27,DELIVERED,6705.00
134,ORD-2026-0134,Vanguard Precision Robotics,2026-01-11,2026-01-14,DELIVERED,9086.00
135,ORD-2026-0135,Apex Industrial Solutions,2026-01-19,2026-01-24,DELIVERED,13369.00
136,ORD-2026-0136,Titan Heavy Industries,2026-01-22,2026-01-28,DELIVERED,6114.00
137,ORD-2026-0137,Quantum Devices LLC,2026-01-15,2026-01-22,DELIVERED,392.00
138,ORD-2026-0138,Global Manufacturing Inc,2026-01-22,2026-01-27,DELIVERED,22964.00
139,ORD-2026-0139,Techtronics Assembly Corp,2026-01-28,2026-02-04,DELIVERED,7024.00
140,ORD-2026-0140,Acme Automation Corp,2026-01-23,2026-01-30,DELIVERED,33780.00
141,ORD-2026-0141,Vanguard Precision Robotics,2026-01-24,2026-02-03,DELIVERED,8340.00
142,ORD-2026-0142,Quantum Devices LLC,2026-01-07,2026-01-14,DELIVERED,8331.50
143,ORD-2026-0143,Titan Heavy Industries,2026-01-02,2026-01-09,DELIVERED,1485.00
144,ORD-2026-0144,Global Manufacturing Inc,2026-01-24,2026-01-29,DELIVERED,1585.00
145,ORD-2026-0145,Starlight Energy Corp,2026-01-26,2026-02-03,DELIVERED,36638.00
146,ORD-2026-0146,Titan Heavy Industries,2026-01-26,2026-01-30,DELIVERED,10730.00
147,ORD-2026-0147,Starlight Energy Corp,2026-01-08,2026-01-17,DELIVERED,1620.00
148,ORD-2026-0148,Quantum Devices LLC,2026-01-15,2026-01-23,DELIVERED,10101.00
149,ORD-2026-0149,Acme Automation Corp,2026-01-08,2026-01-18,DELIVERED,15630.00
150,ORD-2026-0150,Quantum Devices LLC,2026-01-23,2026-01-30,DELIVERED,17581.50
151,ORD-2026-0151,Metro Packaging Logistics,2026-01-18,2026-01-23,DELIVERED,20837.00
152,ORD-2026-0152,Metro Packaging Logistics,2026-01-24,2026-01-29,DELIVERED,1372.00
153,ORD-2026-0153,Omni Logistics Partners,2026-03-09,2026-03-12,DELIVERED,17539.00
154,ORD-2026-0154,Acme Automation Corp,2026-03-12,2026-03-20,DELIVERED,21693.50
155,ORD-2026-0155,Acme Automation Corp,2026-03-21,2026-03-24,DELIVERED,7845.00
156,ORD-2026-0156,Summit Aerospace Parts,2026-03-18,2026-03-24,DELIVERED,7260.00
157,ORD-2026-0157,Vanguard Precision Robotics,2026-03-26,2026-03-29,DELIVERED,6742.00
158,ORD-2026-0158,Apex Industrial Solutions,2026-03-04,2026-03-07,DELIVERED,2520.00
159,ORD-2026-0159,Summit Aerospace Parts,2026-03-26,2026-04-01,DELIVERED,27855.00
160,ORD-2026-0160,Omni Logistics Partners,2026-03-14,2026-03-18,DELIVERED,1064.00
161,ORD-2026-0161,Starlight Energy Corp,2026-03-25,2026-04-02,DELIVERED,588.00
162,ORD-2026-0162,Omni Logistics Partners,2026-03-08,2026-03-11,DELIVERED,8157.00
163,ORD-2026-0163,Titan Heavy Industries,2026-03-14,2026-03-18,DELIVERED,16794.00
164,ORD-2026-0164,Metro Packaging Logistics,2026-03-21,2026-03-29,DELIVERED,18438.00
165,ORD-2026-0165,Quantum Devices LLC,2026-03-23,2026-03-27,DELIVERED,1272.00
166,ORD-2026-0166,Metro Packaging Logistics,2026-03-11,2026-03-21,DELIVERED,2704.00
167,ORD-2026-0167,Global Manufacturing Inc,2026-03-05,2026-03-15,DELIVERED,277.50
168,ORD-2026-0168,Omni Logistics Partners,2026-03-14,2026-03-18,DELIVERED,18235.00
169,ORD-2026-0169,Metro Packaging Logistics,2026-03-11,2026-03-15,DELIVERED,22390.50
170,ORD-2026-0170,Pacific Dynamics Ltd,2026-03-20,2026-03-27,DELIVERED,1890.00
171,ORD-2026-0171,Quantum Devices LLC,2026-03-07,2026-03-12,DELIVERED,8825.50
172,ORD-2026-0172,Metro Packaging Logistics,2026-03-19,2026-03-25,DELIVERED,13520.00
173,ORD-2026-0173,Acme Automation Corp,2026-03-27,2026-04-03,DELIVERED,14355.00
174,ORD-2026-0174,Acme Automation Corp,2026-03-11,2026-03-19,DELIVERED,11195.00
175,ORD-2026-0175,Omni Logistics Partners,2026-03-03,2026-03-08,DELIVERED,1054.50
176,ORD-2026-0176,Metro Packaging Logistics,2026-03-17,2026-03-23,DELIVERED,29784.00
177,ORD-2026-0177,Acme Automation Corp,2026-03-19,2026-03-23,DELIVERED,41864.50
178,ORD-2026-0178,Vanguard Precision Robotics,2026-03-22,2026-03-26,DELIVERED,22328.00
179,ORD-2026-0179,Pacific Dynamics Ltd,2026-03-25,2026-03-29,DELIVERED,42401.50
180,ORD-2026-0180,Metro Packaging Logistics,2026-03-02,2026-03-08,DELIVERED,1035.00
181,ORD-2026-0181,Vanguard Precision Robotics,2026-04-07,2026-04-12,DELIVERED,3060.50
182,ORD-2026-0182,Metro Packaging Logistics,2026-04-06,2026-04-11,DELIVERED,10484.00
183,ORD-2026-0183,Omni Logistics Partners,2026-04-03,2026-04-12,DELIVERED,352.00
184,ORD-2026-0184,Pacific Dynamics Ltd,2026-04-15,2026-04-19,DELIVERED,8733.00
185,ORD-2026-0185,Apex Industrial Solutions,2026-04-01,2026-04-09,DELIVERED,4438.50
186,ORD-2026-0186,Metro Packaging Logistics,2026-04-13,2026-04-17,DELIVERED,4457.00
187,ORD-2026-0187,Starlight Energy Corp,2026-04-03,2026-04-07,DELIVERED,2880.00
188,ORD-2026-0188,Techtronics Assembly Corp,2026-04-27,2026-05-02,DELIVERED,4810.00
189,ORD-2026-0189,Summit Aerospace Parts,2026-04-07,2026-04-12,DELIVERED,3591.00
190,ORD-2026-0190,Titan Heavy Industries,2026-04-25,2026-05-05,DELIVERED,23390.00
191,ORD-2026-0191,Titan Heavy Industries,2026-04-15,2026-04-19,DELIVERED,27210.00
192,ORD-2026-0192,Titan Heavy Industries,2026-04-10,2026-04-20,DELIVERED,3960.00
193,ORD-2026-0193,Global Manufacturing Inc,2026-04-27,2026-05-04,DELIVERED,12480.00
194,ORD-2026-0194,Titan Heavy Industries,2026-04-17,2026-04-26,DELIVERED,644.00
195,ORD-2026-0195,Pacific Dynamics Ltd,2026-04-21,2026-04-27,DELIVERED,14865.00
196,ORD-2026-0196,Acme Automation Corp,2026-04-17,2026-04-22,DELIVERED,3452.00
197,ORD-2026-0197,Pacific Dynamics Ltd,2026-04-17,2026-04-22,DELIVERED,30869.50
198,ORD-2026-0198,Quantum Devices LLC,2026-04-20,2026-04-23,DELIVERED,2378.50
199,ORD-2026-0199,Omni Logistics Partners,2026-04-10,2026-04-17,DELIVERED,2137.00
200,ORD-2026-0200,Vanguard Precision Robotics,2026-04-05,2026-04-13,DELIVERED,20558.50
201,ORD-2026-0201,Apex Industrial Solutions,2026-04-26,2026-05-04,DELIVERED,8320.00
202,ORD-2026-0202,Acme Automation Corp,2026-04-14,2026-04-22,DELIVERED,79280.00
203,ORD-2026-0203,Apex Industrial Solutions,2026-04-07,2026-04-13,DELIVERED,8950.00
204,ORD-2026-0204,Quantum Devices LLC,2026-04-17,2026-04-20,DELIVERED,13147.00
205,ORD-2026-0205,Omni Logistics Partners,2026-04-06,2026-04-11,DELIVERED,768.00
206,ORD-2026-0206,Titan Heavy Industries,2026-04-12,2026-04-18,DELIVERED,1714.00
207,ORD-2026-0207,Techtronics Assembly Corp,2026-05-26,2026-06-05,DELIVERED,17867.00
208,ORD-2026-0208,Starlight Energy Corp,2026-05-25,2026-06-03,DELIVERED,47180.00
209,ORD-2026-0209,Starlight Energy Corp,2026-05-28,2026-06-05,DELIVERED,3225.00
210,ORD-2026-0210,Vanguard Precision Robotics,2026-05-28,2026-06-01,DELIVERED,330.00
211,ORD-2026-0211,Starlight Energy Corp,2026-05-09,2026-05-19,DELIVERED,1471.00
212,ORD-2026-0212,Metro Packaging Logistics,2026-05-12,2026-05-15,DELIVERED,357.00
213,ORD-2026-0213,Metro Packaging Logistics,2026-05-12,2026-05-18,DELIVERED,1008.00
214,ORD-2026-0214,Global Manufacturing Inc,2026-05-01,2026-05-09,DELIVERED,22700.00
215,ORD-2026-0215,Titan Heavy Industries,2026-05-25,2026-06-04,DELIVERED,203.50
216,ORD-2026-0216,Apex Industrial Solutions,2026-05-09,2026-05-15,DELIVERED,9714.00
217,ORD-2026-0217,Global Manufacturing Inc,2026-05-14,2026-05-24,DELIVERED,1344.00
218,ORD-2026-0218,Quantum Devices LLC,2026-05-18,2026-05-21,DELIVERED,8945.00
219,ORD-2026-0219,Techtronics Assembly Corp,2026-05-01,2026-05-09,DELIVERED,40545.50
220,ORD-2026-0220,Metro Packaging Logistics,2026-05-17,2026-05-20,DELIVERED,13677.50
221,ORD-2026-0221,Pacific Dynamics Ltd,2026-05-26,2026-05-30,DELIVERED,7180.00
222,ORD-2026-0222,Apex Industrial Solutions,2026-05-25,2026-06-02,DELIVERED,1848.00
223,ORD-2026-0223,Quantum Devices LLC,2026-05-11,2026-05-16,DELIVERED,60692.00
224,ORD-2026-0224,Vanguard Precision Robotics,2026-05-15,2026-05-18,DELIVERED,11640.00
225,ORD-2026-0225,Starlight Energy Corp,2026-05-10,2026-05-19,DELIVERED,17948.00
226,ORD-2026-0226,Vanguard Precision Robotics,2026-05-02,2026-05-10,DELIVERED,1554.00
227,ORD-2026-0227,Metro Packaging Logistics,2026-05-13,2026-05-23,DELIVERED,38999.00
228,ORD-2026-0228,Omni Logistics Partners,2026-05-09,2026-05-13,DELIVERED,23110.00
229,ORD-2026-0229,Quantum Devices LLC,2026-05-03,2026-05-11,DELIVERED,32668.00
230,ORD-2026-0230,Pacific Dynamics Ltd,2026-05-23,2026-06-02,DELIVERED,22734.00
231,ORD-2026-0231,Quantum Devices LLC,2026-05-02,2026-05-06,DELIVERED,21093.00
232,ORD-2026-0232,Acme Automation Corp,2026-05-22,2026-06-01,DELIVERED,6956.50
233,ORD-2026-0233,Summit Aerospace Parts,2026-06-12,2026-06-21,DELIVERED,4940.00
234,ORD-2026-0234,Pacific Dynamics Ltd,2026-06-22,2026-07-02,DELIVERED,1736.50
235,ORD-2026-0235,Pacific Dynamics Ltd,2026-06-12,2026-06-21,DELIVERED,8536.50
236,ORD-2026-0236,Starlight Energy Corp,2026-06-17,2026-06-26,DELIVERED,12390.00
237,ORD-2026-0237,Techtronics Assembly Corp,2026-06-09,2026-06-19,DELIVERED,6539.00
238,ORD-2026-0238,Omni Logistics Partners,2026-06-15,2026-06-20,DELIVERED,9310.50
239,ORD-2026-0239,Apex Industrial Solutions,2026-06-10,2026-06-17,DELIVERED,3473.00
240,ORD-2026-0240,Techtronics Assembly Corp,2026-06-07,2026-06-12,DELIVERED,8073.00
241,ORD-2026-0241,Global Manufacturing Inc,2026-06-20,2026-06-24,DELIVERED,4357.00
242,ORD-2026-0242,Summit Aerospace Parts,2026-06-25,2026-07-04,DELIVERED,5550.00
243,ORD-2026-0243,Titan Heavy Industries,2026-06-21,2026-06-25,DELIVERED,39740.00
244,ORD-2026-0244,Metro Packaging Logistics,2026-06-06,2026-06-11,DELIVERED,279.50
245,ORD-2026-0245,Apex Industrial Solutions,2026-06-05,2026-06-12,DELIVERED,3000.00
246,ORD-2026-0246,Global Manufacturing Inc,2026-06-17,2026-06-24,DELIVERED,16660.00
247,ORD-2026-0247,Starlight Energy Corp,2026-06-10,2026-06-14,DELIVERED,10520.00
248,ORD-2026-0248,Summit Aerospace Parts,2026-06-20,2026-06-28,DELIVERED,675.00
249,ORD-2026-0249,Quantum Devices LLC,2026-06-02,2026-06-09,DELIVERED,2799.00
250,ORD-2026-0250,Titan Heavy Industries,2026-06-21,2026-06-24,DELIVERED,30950.00
251,ORD-2026-0251,Global Manufacturing Inc,2026-06-10,2026-06-20,DELIVERED,32300.00
252,ORD-2026-0252,Titan Heavy Industries,2026-06-14,2026-06-24,DELIVERED,8275.00
253,ORD-2026-0253,Omni Logistics Partners,2026-06-28,2026-07-06,DELIVERED,8793.00
254,ORD-2026-0254,Techtronics Assembly Corp,2026-06-04,2026-06-12,DELIVERED,6885.50
255,ORD-2026-0255,Techtronics Assembly Corp,2026-06-13,2026-06-22,DELIVERED,2750.00
256,ORD-2026-0256,Titan Heavy Industries,2026-06-07,2026-06-12,DELIVERED,23777.50
257,ORD-2026-0257,Acme Automation Corp,2026-06-07,2026-06-15,DELIVERED,20090.00
258,ORD-2026-0258,Vanguard Precision Robotics,2026-06-20,2026-06-30,DELIVERED,240.50
259,ORD-2026-0259,Omni Logistics Partners,2026-06-05,2026-06-12,DELIVERED,1041.50
260,ORD-2026-0260,Global Manufacturing Inc,2026-07-12,2026-07-19,DELIVERED,13632.50
261,ORD-2026-0261,Pacific Dynamics Ltd,2026-07-04,2026-07-13,PENDING,3464.00
262,ORD-2026-0262,Starlight Energy Corp,2026-07-17,2026-07-26,DELIVERED,2160.00
263,ORD-2026-0263,Titan Heavy Industries,2026-07-23,2026-07-31,SHIPPED,20640.00
264,ORD-2026-0264,Summit Aerospace Parts,2026-07-20,2026-07-27,DELIVERED,18984.00
265,ORD-2026-0265,Summit Aerospace Parts,2026-07-04,2026-07-13,DELIVERED,10400.00
266,ORD-2026-0266,Omni Logistics Partners,2026-07-09,2026-07-15,DELIVERED,56063.00
267,ORD-2026-0267,Acme Automation Corp,2026-07-27,2026-08-02,SHIPPED,3740.00
268,ORD-2026-0268,Metro Packaging Logistics,2026-07-15,2026-07-23,DELIVERED,30630.00
269,ORD-2026-0269,Omni Logistics Partners,2026-07-24,2026-07-27,DELIVERED,5784.00
270,ORD-2026-0270,Pacific Dynamics Ltd,2026-07-17,2026-07-26,DELIVERED,28434.00
271,ORD-2026-0271,Summit Aerospace Parts,2026-07-26,2026-08-02,DELIVERED,11265.00
272,ORD-2026-0272,Vanguard Precision Robotics,2026-07-08,2026-07-15,PROCESSING,3370.00
273,ORD-2026-0273,Vanguard Precision Robotics,2026-07-12,2026-07-19,DELIVERED,11379.00
274,ORD-2026-0274,Titan Heavy Industries,2026-07-03,2026-07-11,PROCESSING,10896.00
275,ORD-2026-0275,Apex Industrial Solutions,2026-07-18,2026-07-25,DELIVERED,11140.00
276,ORD-2026-0276,Acme Automation Corp,2026-07-08,2026-07-14,DELIVERED,6319.00
277,ORD-2026-0277,Metro Packaging Logistics,2026-07-18,2026-07-23,PROCESSING,15945.50
278,ORD-2026-0278,Quantum Devices LLC,2026-07-02,2026-07-06,SHIPPED,5416.00
279,ORD-2026-0279,Apex Industrial Solutions,2026-07-06,2026-07-15,DELIVERED,32014.00
280,ORD-2026-0280,Pacific Dynamics Ltd,2026-07-20,2026-07-24,DELIVERED,13155.00
